,product,date,rating,title,reviews
0,Amazon.com: Customer reviews: Alani Energy Drink,"April 20, 2024",1.0 out of 5 stars,Received wrong item,"The product is amazing from the company, but I have received the wrong item twice now from Amazon."
1,Amazon.com: Customer reviews: Alani Energy Drink,"April 19, 2024",1.0 out of 5 stars,TERRIBLE DELIVERY AND RESULT,"only came with 10 cans - 1 being basically empty. didn’t even come in an alani box - awful. i had ordered peach before and that came perfectly fine. this one i didn’t even get all the cans, wish i could get money back!"
2,Amazon.com: Customer reviews: Alani Energy Drink,"April 18, 2024",1.0 out of 5 stars,Wrong order and can’t get a refund,I wanted orange kiss because it was a new flavor but I was given mimosa instead. Mimosa is my least favorite preworkout flavor
3,Amazon.com: Customer reviews: Alani Energy Drink,"April 16, 2024",1.0 out of 5 stars,Cans damaged,Not sure who I contact but the alani nu cans were damaged when they arrived. The prime box was open with the cans exposed and damaged. Please advise!
4,Amazon.com: Customer reviews: Alani Energy Drink,"April 16, 2024",1.0 out of 5 stars,Wrong item sent several times.,I love the Alani product but I have ordered the orange kiss flavor twice and they keep sending the mimosa flavor
5,Amazon.com: Customer reviews: Alani Energy Drink,"April 15, 2024",1.0 out of 5 stars,Bar code error,I ordered Orange Kiss. Amazon sent mimosa. I reordered Orange Kiss. & again I received mimosa. The orange kiss is really good & luckily I can get it local since Amazon can’t seem go get my order right.
6,Amazon.com: Customer reviews: Alani Energy Drink,"April 13, 2024",1.0 out of 5 stars,Wrong order received 2xs,"I have ordered this drink and both times received the wrong flavor even after triple checking my order. As a person who has been using Alani nu for around 4 years, this is disappointing."
7,Amazon.com: Customer reviews: Alani Energy Drink,"April 13, 2024",1.0 out of 5 stars,Second time they sent the wrong case.,The Orange Kiss flavor is really good. Clean and crisp taste but unfortunately I've attempted to buy this twice and both times I was sent a different flavor.
8,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0 out of 5 stars,Wrong flavor received 3x,Ordered ‘orange kiss’ three times (says it’s in stock) and I’ve received ‘Mimosa’. Either alani needs to change their packaging or someone at Amazon needs to pay attention to what is being packaged and shipped!
9,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0 out of 5 stars,Great product horrible customer service when damaged,I love this flavor but arrived damaged and won't receive refund or new product. Waste of 23.00 sad when you get 2 delivered every other week through subscription and arrives damaged once and no way to get refund.
10,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0 out of 5 stars,Very Damaged Upon Arrival and No Returns,"I love this product itself, but the box was ripped open and the majority of the cans were damaged, some so damaged they are unusable. Also no return/replace options are available either."
11,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0 out of 5 stars,Advertise one flavor and send another,"Advertised Orange Kiss and sent Mimosa. If you do not have a product, you do not replace it with a similar product thinking the customer won’t notice. Very disappointing that Alani Nu would think this was ok."
12,Amazon.com: Customer reviews: Alani Energy Drink,"April 9, 2024",1.0 out of 5 stars,Box open,"This item package came open it was a gift so
I improvised and made a different boxing for it"
13,Amazon.com: Customer reviews: Alani Energy Drink,"April 8, 2024",1.0 out of 5 stars,Seller Shipped Wrong Product,love the flavor. but this seller gave me the wrong kind!
14,Amazon.com: Customer reviews: Alani Energy Drink,"April 7, 2024",1.0 out of 5 stars,Taste is chalky,Not what i expected. I like other orange cream flavored energy drinks so I had high hopes for this one and the flavor was very chalky and overall I couldn’t get through the can
15,Amazon.com: Customer reviews: Alani Energy Drink,"April 4, 2024",1.0 out of 5 stars,Wrong flavor,"I ordered Orange Kiss and received Mimosa, which I do not like, and there is no option to return…so that was $25 down the drain. I like Alani but not having the ability to exchange a product when I was sent the incorrect one, is not okay."
16,Amazon.com: Customer reviews: Alani Energy Drink,"April 2, 2024",1.0 out of 5 stars,Damaged,Box and all the cans were damaged and was unable to open the cans. No replacement option.
17,Amazon.com: Customer reviews: Alani Energy Drink,"April 2, 2024",1.0 out of 5 stars,DO NOT ORDER THESE,The past two packages I have received have arrived with the cans completely busted. I would order this directly from Alani instead.
18,Amazon.com: Customer reviews: Alani Energy Drink,"April 2, 2024",1.0 out of 5 stars,Not for me,I will not be repurchasing these. The flavor is terrible. It’s pure cotton candy and sugar.
19,Amazon.com: Customer reviews: Alani Energy Drink,"April 1, 2024",1.0 out of 5 stars,Arrived damaged,Only 8 of 12 cans are able to be used. This is a non refundable product so beware of ordering. This is the second time I have received drinks damaged.
20,Amazon.com: Customer reviews: Alani Energy Drink,"March 29, 2024",1.0 out of 5 stars,Cans exploded,I bought two cases and EVERY SINGLE CAN has exploded/bubbled over!!!!!!
21,Amazon.com: Customer reviews: Alani Energy Drink,"March 25, 2024",1.0 out of 5 stars,Damaged item,I will not order this again! The box was opened looked like someone stepped on it. The top of the lids had dirt or sand all on top. Cans was damaged an opened. Will not be ordering these again
22,Amazon.com: Customer reviews: Alani Energy Drink,"March 22, 2024",1.0 out of 5 stars,Poor quality,"Breezeberry tastes like soap.

I primarily bought this because of the vibrant color of the Amazon images. The actual can does not look like this at all, looks like a low quality washed out screen print.

I have zero confidence in this brand. After I bought it I saw other people’s quality control complaints here, this seems to be a very dangerous brand — purchase at your own risk.

I’m sticking with Celsius."
23,Amazon.com: Customer reviews: Alani Energy Drink,"March 20, 2024",1.0 out of 5 stars,Damaged and missing 3.,Damaged package and missing 3 Alani's. Ridiculous. Pretty bad. 🙄
24,Amazon.com: Customer reviews: Alani Energy Drink,"March 19, 2024",1.0 out of 5 stars,damaged,"My package came damaged, and empty cans"
25,Amazon.com: Customer reviews: Alani Energy Drink,"March 18, 2024",1.0 out of 5 stars,Damaged product,I6 out of 12 cans are damaged and one is empty. The delivery was delayed and arrived days later. not returnable.. lesson learned and will cancel subscription.
26,Amazon.com: Customer reviews: Alani Energy Drink,"March 18, 2024",1.0 out of 5 stars,Case was broken !,The case it came in was broken and the cans were dented .
27,Amazon.com: Customer reviews: Alani Energy Drink,"March 16, 2024",1.0 out of 5 stars,Expired product,I received my order however it had expired a week ago and there is a no return policy so now I have to throw out 12 cans.
28,Amazon.com: Customer reviews: Alani Energy Drink,"March 15, 2024",1.0 out of 5 stars,They explode,Every single one I opened exploded as if I shook it really hard.
29,Amazon.com: Customer reviews: Alani Energy Drink,"March 11, 2024",1.0 out of 5 stars,Love the product but not from this seller,"Product arrived sticky and dirty. None of the cans were busted open, but they were all dented."
30,Amazon.com: Customer reviews: Alani Energy Drink,"March 8, 2024",1.0 out of 5 stars,Damaged product with no option to return,"I usually buy these from GNC and have never had a problem with receiving damaged products. So many damaged cans in the case most of them cannot even be opened, canceling my subscription."
31,Amazon.com: Customer reviews: Alani Energy Drink,"March 6, 2024",1.0 out of 5 stars,Arrived damaged. External packaging ok,Product arrived damaged. External box was ok. Inside packaging was ripped and contents damaged. Unable to return or get replacement. Cans wobble when you place on counter. Tastes ok…
32,Amazon.com: Customer reviews: Alani Energy Drink,"March 4, 2024",1.0 out of 5 stars,Horrible,This product should be 24.99 and in a case it came in a bag and double the price. They also will not let you return it. STAY AWAY
33,Amazon.com: Customer reviews: Alani Energy Drink,"March 3, 2024",1.0 out of 5 stars,NOT BLUE RASPBERRY,It does not taste good at all. I have drank a lot of blue raspberry drinks and this has to be one of the worst. Doesn’t taste like blue raspberry at all.
34,Amazon.com: Customer reviews: Alani Energy Drink,"March 2, 2024",1.0 out of 5 stars,Packing is always terrible.,I love this drink a lot. I don’t find fault with that. But there is always issues with the package. Today I had two cases shoved into one box. I haven’t opened it yet to count and make sure the number is correct but this is just mind boggling. Terrible. You cannot contact seller or make any returns. FYI. This is my attempt to finally get eyes on this issue with their packaging and delivery.
35,Amazon.com: Customer reviews: Alani Energy Drink,"March 2, 2024",1.0 out of 5 stars,Chemical Taste,"I love alanis and order a case once a month or so, this recent case tasted like chemicals! The first can I opened tasted so horrible I threw it away. I tried a second one and cleaned off the can thinking it was just the metal can taste? Still horrible. Tried a third one, still does not taste like a regular cherry alani. Really odd."
36,Amazon.com: Customer reviews: Alani Energy Drink,"March 2, 2024",1.0 out of 5 stars,Came opened,Arrived opened box opened
37,Amazon.com: Customer reviews: Alani Energy Drink,"February 29, 2024",1.0 out of 5 stars,Unfortunately couldn’t drink mine,Shipping package was in perfect condition. For some reason it was boxed up to send to me all dented dirty and covered in a mystery brown chunky substance that’s all through the box. Only thing I can do is toss it and wash my hands :( so sad I really wanted these
38,Amazon.com: Customer reviews: Alani Energy Drink,"February 29, 2024",1.0 out of 5 stars,Improper handing or faulty product,Every can has exploded upon opening.
39,Amazon.com: Customer reviews: Alani Energy Drink,"February 26, 2024",1.0 out of 5 stars,Received a damaged/defective product,Received an item that was already opened and missing a can. Amazon has since resolved the issue.
40,Amazon.com: Customer reviews: Alani Energy Drink,"February 25, 2024",1.0 out of 5 stars,Drinks came in box and can damaged,The box was torn in several place and multiple cans were dented to the point the drink has to be poured into a cup in order to drink it…..
41,Amazon.com: Customer reviews: Alani Energy Drink,"February 24, 2024",1.0 out of 5 stars,Missing cans,Missing cans from 12 pack of Alani. Box was opened and damaged
42,Amazon.com: Customer reviews: Alani Energy Drink,"February 22, 2024",1.0 out of 5 stars,Cans dented,I love the drinks. But the box was tore up and every single can had multiple dents and ripples in them.
43,Amazon.com: Customer reviews: Alani Energy Drink,"February 21, 2024",1.0 out of 5 stars,Be prepared for damaged cans,6 of the cans were damaged when arrived so I was quite disappointed and I have to note you can not return. I do enjoy this beverage and the flavor so I was sad to see so many wasted as well as my money.
44,Amazon.com: Customer reviews: Alani Energy Drink,"February 18, 2024",1.0 out of 5 stars,Defective case,"I’m not one to normally write reviews. This is the third case of alani energy drinks I’ve bought from Amazon and have never had an issue. However this time they are a month away from expiring. Each time I have opened one they exploded everywhere and taste flat with a metallic taste. Luckily, Amazon helped me make it right. But beware"
45,Amazon.com: Customer reviews: Alani Energy Drink,"February 14, 2024",1.0 out of 5 stars,What in the world?!,I was skeptical buying drinks online- but this is ridiculous. What even happened?! These cans are all beat up and clearly shaken up- can’t even drink them. It’s not a returnable product either. Not ok.
46,Amazon.com: Customer reviews: Alani Energy Drink,"February 12, 2024",1.0 out of 5 stars,Broken packaging and cans damaged,I am not happy that this is not returnable or replaceable. They arrived broken and damaged. Shipping box was ok so it was packaged like this.
47,Amazon.com: Customer reviews: Alani Energy Drink,"February 11, 2024",1.0 out of 5 stars,Damaged,2 cans completely busted and 2 exploded all over inside of box
48,Amazon.com: Customer reviews: Alani Energy Drink,"February 8, 2024",1.0 out of 5 stars,Product was damaged,Product was damaged and missing items
49,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0 out of 5 stars,Disappointed.,The box came super beat up and leaking. The inside looks like it has been previously opened which makes me worried about the quality of the drinks. Two cans busted before I was even able unpack it.
50,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0 out of 5 stars,Received damaged,Mutliple cans blew up. The box is soaked and there’s mold all in it.
51,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0 out of 5 stars,Does not taste the same.,When I open it it fizzes and shoots up. Ugh I’m so disappointed as I buy these every other week
52,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0 out of 5 stars,Doesn’t taste like when bought in store,The breezeberry is a flavor that I always get at Wawa and it’s delicious but buying it off here.. it doesn’t taste the same at all. It expires over a month from now (February 2024). It stinks because cannot return or replace it. Beware if buying.
53,Amazon.com: Customer reviews: Alani Energy Drink,"February 3, 2024",1.0 out of 5 stars,I love flavor but bad packaging,The Alani package was torn and the cans beat up! Amazon box was intact so it was the Alani company who sent like this. Since there’s no returns I feel they dont care what they ship!
54,Amazon.com: Customer reviews: Alani Energy Drink,"February 2, 2024",1.0 out of 5 stars,Arrived damaged,Case of drinks arrived damaged and the box was dirty and torn. I will not order again.
55,Amazon.com: Customer reviews: Alani Energy Drink,"February 2, 2024",1.0 out of 5 stars,Stomach ache and nausea,These energy drinks gave me the worst stomach aches and nausea I have ever experienced from an energy drink. I do not recommend these to anyone.
56,Amazon.com: Customer reviews: Alani Energy Drink,"January 31, 2024",1.0 out of 5 stars,Item came in damaged and had 2 container completely empty.,The item came in damaged and had 2 containers completely empty and the other cans were sticky due to the leak it had.
57,Amazon.com: Customer reviews: Alani Energy Drink,"January 29, 2024",1.0 out of 5 stars,Damaged,"Item came damaged, cans emptied, box soaked through, won’t allow a return or refund."
58,Amazon.com: Customer reviews: Alani Energy Drink,"January 27, 2024",1.0 out of 5 stars,Poor,"Box came ripped, cans fell out at me. Was missing a can from box. I don’t want a refund but should be replaced, this is not even an option!"
59,Amazon.com: Customer reviews: Alani Energy Drink,"January 24, 2024",1.0 out of 5 stars,Damaged item,Almost all cans smashed/ blown up/leaking. Flat and gross when opened one. The box it came it was soaking wet and smashed up. Retapped several times. Would like a refund as these are not drinkable and had to be thrown away.
60,Amazon.com: Customer reviews: Alani Energy Drink,"January 23, 2024",1.0 out of 5 stars,Box torn apart and cans busted,Wouldn’t order
61,Amazon.com: Customer reviews: Alani Energy Drink,"January 23, 2024",1.0 out of 5 stars,Taste funky,They don’t taste right! Don’t buy from amazon
62,Amazon.com: Customer reviews: Alani Energy Drink,"January 22, 2024",1.0 out of 5 stars,All the cans came smashed,"Love these energy drinks. Decided to buy on Amazon to save some money. I opened the box, and the cans are all smashed up. You can’t even open the can with the pop top. Completely snapped off. Of course can’t return or replace."
63,Amazon.com: Customer reviews: Alani Energy Drink,"January 17, 2024",1.0 out of 5 stars,Exploded cans,All of the cans in the box were exploded. I brought them in directly after being delivered by UPS to find it this way. Very disappointed.
64,Amazon.com: Customer reviews: Alani Energy Drink,"January 17, 2024",1.0 out of 5 stars,Ridiculous,The condition this item arrived in is RIDICULOUS and DISGUSTING. First attempts to return/replace tell me this is not eligible but I am going to find a way to get a refund. This is a food item and I would not ever consume something in this condition!
65,Amazon.com: Customer reviews: Alani Energy Drink,"January 17, 2024",1.0 out of 5 stars,Can not refund but can’t drink them either.,"Product was all damaged, all the cans were exploded."
66,Amazon.com: Customer reviews: Alani Energy Drink,"January 16, 2024",1.0 out of 5 stars,DO NOT ORDER IN THE WINTER/CHECK WINTER CONDITIONS BEFORE ORDERING,"Item arrived frozen and bursted.

No return or resolve option."
67,Amazon.com: Customer reviews: Alani Energy Drink,"January 13, 2024",1.0 out of 5 stars,Drugs,Package was received damaged and smelled of marijuana.
68,Amazon.com: Customer reviews: Alani Energy Drink,"January 12, 2024",1.0 out of 5 stars,Not what I expected & cannot return it.,Could not return. Product was not what I expected.
69,Amazon.com: Customer reviews: Alani Energy Drink,"January 10, 2024",1.0 out of 5 stars,Damaged product,Damaged product
