,product,date,rating,title,reviews
0,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 20, 2024",1.0 out of 5 stars,Missing item,"A pack of 12 C4 energy drinks was paid for but only received 11, package was completely opened and other items missing. It was clear that the package was opened upon delivery. This is unacceptable and terrible service"
1,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 16, 2024",1.0 out of 5 stars,Cans almost all dented and damaged.,"Shipping box was fine, all but three of the cans were heavily dented."
2,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 15, 2024",1.0 out of 5 stars,Damaged,Box was damaged and 2 cans busted leaked and fell through box
3,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 13, 2024",1.0 out of 5 stars,Case is flat,I have tried 3 of this 12 pack so far and all 3 are flat tasting. Will probably just stick to buying from gas stations.
4,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 11, 2024",1.0 out of 5 stars,Damaged Cans Keep Showing up,Damaged Cans Keep Showing up
5,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 2, 2024",1.0 out of 5 stars,2 out of 4 cans are deflated/Squishy. Unable to drink,
6,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","April 1, 2024",1.0 out of 5 stars,Wayyyyy too sweet yuck,Taste like a whole can of sugar!! No way I could drink more than a sip… disgustingly sweet. Needs to be diluted!
7,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","March 11, 2024",1.0 out of 5 stars,Arrived damaged,"I've ordered this a few times, but this time it came damaged 😢"
8,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","March 10, 2024",1.0 out of 5 stars,Damaged Product - No Customer Service Response,Received my product damaged in this shipment (exploded/crushed cans) & followed instructions to contact C4 directly and included pictures. This is the second time on an order that this has happened with no response from the manufacturer - as Amazon is not affiliated with product issues. Disappointing to see the lack of urgency to address customer issues.
9,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 23, 2024",1.0 out of 5 stars,tastes like crap,tastes like bubbly water with a hint of after taste of a popsicle. its so watered down its gross
10,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 20, 2024",1.0 out of 5 stars,Not Right! Ripped Off!,"I ordered THREE 12 packs… i got 32 single cans.
3X12 IS NOT 32. Several are no good, ones half empty and 2 are bad without carbonation. What the hell is going on??? Were these all the ones that had been rolling around on the floor? How ridiculous!"
11,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 18, 2024",1.0 out of 5 stars,Damaged and broke,The cans were damaged and broke open
12,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 15, 2024",1.0 out of 5 stars,Flat,Cans were dented and everyone of them taste very flat.
13,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 15, 2024",1.0 out of 5 stars,Damaged cans with no recourse,Several cans punctured and leaking. Not really worth the price if they come half empty.
14,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 10, 2024",1.0 out of 5 stars,Horrible,Do not like at all. Horrible aftertaste. Not satisfied at all.
15,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 9, 2024",1.0 out of 5 stars,Disappointed,Love the product very disappointed about delivery. Not only did it take forever to get it but they came frozen and blown up along with leaking. Everything else in my order got wet and one thing got ruined. Overall will not buy again from Amazon at least not this product.
16,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","February 9, 2024",1.0 out of 5 stars,Damaged package,Almost all of the cans were dented in the packaging. Some weren’t even able to be opened.
17,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","January 26, 2024",1.0 out of 5 stars,Damaged Cans Keep Showing up,"I love C4. It is a great low calorie option for an energy drink and helps to support my energy levels while I run kids around to their events all day long. However, I am very frustrated that multiple shipments I have received contain cans with holes in them. I don't know when this is happening during the supply chain process but it is very frustrating. I provided a picture of a can from the last case I received. That is a huge hole over the ingredients list! The drink was over every can in the case. I don't know if Amazon needs to put fragile on the box or if inspections are needed by C4 but I would really appreciate it if someone could look into this. I don't want to switch from Amazon autoships or from drinking C4 but something has to change. This is a waste of my money!"
18,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12","January 24, 2024",1.0 out of 5 stars,Made my face itchy,"About 15 minutes after I drank one, my face began to tingle and itch with a hot sensation. I thought it might have been something else, but a few days later the same thing when I had another."
