,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
2,Amazon.com: Customer reviews: Alani Energy Drink,"April 18, 2024",1.0,wrong order get refund,wanted orange kiss new flavor given mimosa instead mimosa least favorite preworkout flavor,wrong order get refund wanted orange kiss new flavor given mimosa instead mimosa least favorite preworkout flavor,0,,-0.4176,,,,
4,Amazon.com: Customer reviews: Alani Energy Drink,"April 16, 2024",1.0,wrong item sent several time,love alani product ordered orange kiss flavor twice keep sending mimosa flavor,wrong item sent several time love alani product ordered orange kiss flavor twice keep sending mimosa flavor,0,,0.5994,,,,
6,Amazon.com: Customer reviews: Alani Energy Drink,"April 13, 2024",1.0,wrong order received x,ordered drink time received wrong flavor even triple checking order person using alani nu around year disappointing,wrong order received x ordered drink time received wrong flavor even triple checking order person using alani nu around year disappointing,0,,-0.8555,,,,
7,Amazon.com: Customer reviews: Alani Energy Drink,"April 13, 2024",1.0,second time sent wrong case,orange kiss flavor really good clean crisp taste unfortunately attempted buy twice time sent different flavor,second time sent wrong case orange kiss flavor really good clean crisp taste unfortunately attempted buy twice time sent different flavor,0,0.5379,0.5379,,,,
8,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0,wrong flavor received x,ordered orange kiss three time say stock received mimosa either alani need change packaging someone amazon need pay attention packaged shipped,wrong flavor received x ordered orange kiss three time say stock received mimosa either alani need change packaging someone amazon need pay attention packaged shipped,0,,-0.0,,-0.0,,
9,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0,great product horrible customer service damaged,love flavor arrived damaged wo receive refund new product waste sad get delivered every week subscription arrives damaged way get refund,great product horrible customer service damaged love flavor arrived damaged wo receive refund new product waste sad get delivered every week subscription arrives damaged way get refund,0,,-0.8316,,,,
11,Amazon.com: Customer reviews: Alani Energy Drink,"April 10, 2024",1.0,advertise one flavor send another,advertised orange kiss sent mimosa product replace similar product thinking customer notice disappointing alani nu would think ok,advertise one flavor send another advertised orange kiss sent mimosa product replace similar product thinking customer notice disappointing alani nu would think ok,0,,0.2023,,,,
12,Amazon.com: Customer reviews: Alani Energy Drink,"April 9, 2024",1.0,box open,item package came open gift improvised made different boxing,box open item package came open gift improvised made different boxing,0,,,,0.4404,,
13,Amazon.com: Customer reviews: Alani Energy Drink,"April 8, 2024",1.0,seller shipped wrong product,love flavor seller gave wrong kind,seller shipped wrong product love flavor seller gave wrong kind,0,,0.34,,,,
14,Amazon.com: Customer reviews: Alani Energy Drink,"April 7, 2024",1.0,taste chalky,expected like orange cream flavored energy drink high hope one flavor chalky overall get,taste chalky expected like orange cream flavored energy drink high hope one flavor chalky overall get,0,0.7579,0.7579,,,,
15,Amazon.com: Customer reviews: Alani Energy Drink,"April 4, 2024",1.0,wrong flavor,ordered orange kiss received mimosa like option drain like alani ability exchange product sent incorrect one okay,wrong flavor ordered orange kiss received mimosa like option drain like alani ability exchange product sent incorrect one okay,0,,0.7845,,,,
17,Amazon.com: Customer reviews: Alani Energy Drink,"April 2, 2024",1.0,order,past two package received arrived can completely busted would order directly alani instead,order past two package received arrived can completely busted would order directly alani instead,0,,,,0.0,,
18,Amazon.com: Customer reviews: Alani Energy Drink,"April 2, 2024",1.0,,repurchasing flavor terrible pure cotton candy sugar, repurchasing flavor terrible pure cotton candy sugar,0,,-0.4767,,,,
22,Amazon.com: Customer reviews: Alani Energy Drink,"March 22, 2024",1.0,poor quality,breezeberry taste like soap primarily bought vibrant color amazon image actual look like look like low quality washed screen print zero confidence brand bought saw people quality control complaint seems dangerous brand purchase risk sticking celsius,poor quality breezeberry taste like soap primarily bought vibrant color amazon image actual look like look like low quality washed screen print zero confidence brand bought saw people quality control complaint seems dangerous brand purchase risk sticking celsius,0,0.5106,,,,,
23,Amazon.com: Customer reviews: Alani Energy Drink,"March 20, 2024",1.0,damaged missing,damaged package missing alani ridiculous pretty bad,damaged missing damaged package missing alani ridiculous pretty bad,0,,,,-0.9001,,
24,Amazon.com: Customer reviews: Alani Energy Drink,"March 19, 2024",1.0,damaged,package came damaged empty can,damaged package came damaged empty can,0,,,,-0.765,,
31,Amazon.com: Customer reviews: Alani Energy Drink,"March 6, 2024",1.0,arrived damaged external packaging ok,product arrived damaged external box ok inside packaging ripped content damaged unable return get replacement cans wobble place counter tastes,arrived damaged external packaging ok product arrived damaged external box ok inside packaging ripped content damaged unable return get replacement cans wobble place counter tastes,0,-0.6486,,,,,
32,Amazon.com: Customer reviews: Alani Energy Drink,"March 4, 2024",1.0,horrible,product case came bag double price also let return stay away,horrible product case came bag double price also let return stay away,0,,,-0.5423,,,
33,Amazon.com: Customer reviews: Alani Energy Drink,"March 3, 2024",1.0,blue raspberry,taste good drank lot blue raspberry drink one worst taste like blue raspberry,blue raspberry taste good drank lot blue raspberry drink one worst taste like blue raspberry,0,0.0772,,,,,
34,Amazon.com: Customer reviews: Alani Energy Drink,"March 2, 2024",1.0,packing always terrible,love drink lot find fault always issue package today two case shoved one box opened yet count make sure number correct mind boggling terrible contact seller make return fyi attempt finally get eye issue packaging delivery,packing always terrible love drink lot find fault always issue package today two case shoved one box opened yet count make sure number correct mind boggling terrible contact seller make return fyi attempt finally get eye issue packaging delivery,0,,,,-0.0772,,
35,Amazon.com: Customer reviews: Alani Energy Drink,"March 2, 2024",1.0,chemical taste,love alanis order case month recent case tasted like chemical first opened tasted horrible threw away tried second one cleaned thinking metal taste still horrible tried third one still taste like regular cherry alani really odd,chemical taste love alanis order case month recent case tasted like chemical first opened tasted horrible threw away tried second one cleaned thinking metal taste still horrible tried third one still taste like regular cherry alani really odd,0,-0.101,,,,,
37,Amazon.com: Customer reviews: Alani Energy Drink,"February 29, 2024",1.0,unfortunately drink mine,shipping package perfect condition reason boxed send dented dirty covered mystery brown chunky substance box thing toss wash hand sad really wanted,unfortunately drink mine shipping package perfect condition reason boxed send dented dirty covered mystery brown chunky substance box thing toss wash hand sad really wanted,0,,,,-0.128,,
43,Amazon.com: Customer reviews: Alani Energy Drink,"February 21, 2024",1.0,prepared damaged can,can damaged arrived quite disappointed note return enjoy beverage flavor sad see many wasted well money,prepared damaged can can damaged arrived quite disappointed note return enjoy beverage flavor sad see many wasted well money,0,,-0.8516,,,,
44,Amazon.com: Customer reviews: Alani Energy Drink,"February 18, 2024",1.0,defective case,one normally write review third case alani energy drink bought amazon never issue however time month away expiring time opened one exploded everywhere taste flat metallic taste luckily amazon helped make right beware,defective case one normally write review third case alani energy drink bought amazon never issue however time month away expiring time opened one exploded everywhere taste flat metallic taste luckily amazon helped make right beware,0,0.5994,,,,,
46,Amazon.com: Customer reviews: Alani Energy Drink,"February 12, 2024",1.0,broken packaging can damaged,happy returnable replaceable arrived broken damaged shipping box ok packaged like,broken packaging can damaged happy returnable replaceable arrived broken damaged shipping box ok packaged like,0,,,,-0.5574,,
49,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0,disappointed,box came super beat leaking inside look like previously opened make worried quality drink two can busted even able unpack,disappointed box came super beat leaking inside look like previously opened make worried quality drink two can busted even able unpack,0,,,,,,
51,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0,taste,open fizz shoot ugh disappointed buy every week,taste open fizz shoot ugh disappointed buy every week,0,-0.8074,,,,,
52,Amazon.com: Customer reviews: Alani Energy Drink,"February 6, 2024",1.0,taste like bought store,breezeberry flavor always get wawa delicious buying taste expires month february stink return replace beware buying,taste like bought store breezeberry flavor always get wawa delicious buying taste expires month february stink return replace beware buying,0,0.5423,0.5423,,,,
53,Amazon.com: Customer reviews: Alani Energy Drink,"February 3, 2024",1.0,love flavor bad packaging,alani package torn can beat amazon box intact alani company sent like since return feel dont care ship,love flavor bad packaging alani package torn can beat amazon box intact alani company sent like since return feel dont care ship,0,,0.2668,,0.2668,,
61,Amazon.com: Customer reviews: Alani Energy Drink,"January 23, 2024",1.0,taste funky,taste right buy amazon,taste funky taste right buy amazon,0,0.0772,,,,,
67,Amazon.com: Customer reviews: Alani Energy Drink,"January 13, 2024",1.0,drugs,package received damaged smelled marijuana,drugs package received damaged smelled marijuana,0,,,,-0.4404,,
71,Amazon.com: Customer reviews: Alani Energy Drink,"January 1, 2024",1.0,punctured empty,package arrived punctured empty outter package tact inner box can dented punctured happened packaged delivery shipped condition,punctured empty package arrived punctured empty outter package tact inner box can dented punctured happened packaged delivery shipped condition,0,,,,-0.3818,,
72,Amazon.com: Customer reviews: Alani Energy Drink,"December 30, 2023",1.0,missing product,box received held together packing tape damaged also drink missing received drink package,missing product box received held together packing tape damaged also drink missing received drink package,0,,,,-0.743,,
