,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
0,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-04-20,1.0,missing item,pack c energy drink paid received package completely opened item missing clear package opened upon delivery unacceptable terrible service,missing item pack c energy drink paid received package completely opened item missing clear package opened upon delivery unacceptable terrible service,0,,,,-0.7003,,
6,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-04-01,1.0,wayyyyy sweet yuck,taste like whole sugar way could drink disgustingly sweet needs diluted,wayyyyy sweet yuck taste like whole sugar way could drink disgustingly sweet needs diluted,0,0.5574,,,,,
9,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-02-23,1.0,taste like crap,taste like bubbly water hint taste popsicle watered gross,taste like crap taste like bubbly water hint taste popsicle watered gross,0,-0.1779,,,,,
12,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-02-15,1.0,flat,cans dented everyone taste flat,flat cans dented everyone taste flat,0,0.0,,,,,
13,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-02-15,1.0,damaged can recourse,several can punctured leaking really worth price come half empty,damaged can recourse several can punctured leaking really worth price come half empty,0,,,-0.3626,,,
14,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-02-10,1.0,horrible,like horrible aftertaste satisfied,horrible like horrible aftertaste satisfied,0,-0.4019,,,,,
16,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-02-09,1.0,damaged package,almost can dented packaging even able opened,damaged package almost can dented packaging even able opened,0,,,,-0.4404,,
21,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2024-01-08,1.0,yuck,can tasted foul,yuck can tasted foul,0,0.0,,,,,
23,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2023-12-15,1.0,flat taste awful,flat taste awful,flat taste awful flat taste awful,0,-0.7184,,,,,
25,"Amazon.com: Customer reviews: Cellucor C4 Energy Drink, STARBURST Strawberry, Carbonated Sugar Free Pre Workout Performance Drink with no Artificial Colors or Dyes, Pack of 12",2023-12-13,1.0,raised price high,decent drink good recovery workout bought nov paid almost dollar le buy price cheaper price found let company rip,raised price high decent drink good recovery workout bought nov paid almost dollar le buy price cheaper price found let company rip,0,,,0.4404,,,
