,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
198,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-07-18,5.0,,love flavor definitely give energy, love flavor definitely give energy,1,,0.8402,,,,
197,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-07-20,3.0,,subscribe save item getting hard consistently find local grocery store half order cancelled supplier could find another drink tasted monster pretty sure would change brand, subscribe save item getting hard consistently find local grocery store half order cancelled supplier could find another drink tasted monster pretty sure would change brand,0,0.743,,,,,
196,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-07-23,1.0,,package thrown beside porch can dented empty, package thrown beside porch can dented empty,0,,,,-0.2023,,
194,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-07-25,5.0,,best place purchase drink since price soared store, best place purchase drink since price soared store,1,,,0.6369,,,
190,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-08-03,5.0,,enjoyed monster energy lo carb well year hope continue particular type energy drink know brand taste good, enjoyed monster energy lo carb well year hope continue particular type energy drink know brand taste good,1,0.9246,,,,,
186,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-08-18,5.0,,tastes good great price, tastes good great price,1,0.7906,,0.7906,,,
185,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-08-30,5.0,,monster flavor cal seems stronger effect zero favorite monster, monster flavor cal seems stronger effect zero favorite monster,1,,0.6808,,,,
184,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-09-03,4.0,,still drink person life keto people know point past year added three carbs drink instead six carbs per nine three carbs nothing average person make difference people keto drink longer marketed low carb anymore purple top similar one zero sugar better keto taste anywhere near good, still drink person life keto people know point past year added three carbs drink instead six carbs per nine three carbs nothing average person make difference people keto drink longer marketed low carb anymore purple top similar one zero sugar better keto taste anywhere near good,1,0.6705,,,,,
181,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-09-07,3.0,,cool kinda trigger paranoid symptom daily would take much longer lit could like month deteriorating monster closer week hard say got cptsd around well probably unrelated reason nice artificial sweetener ideal health regular monster much carbs would sip hour relatively good taste, cool kinda trigger paranoid symptom daily would take much longer lit could like month deteriorating monster closer week hard say got cptsd around well probably unrelated reason nice artificial sweetener ideal health regular monster much carbs would sip hour relatively good taste,0,0.9166,,,,,
180,"Amazon.com: Customer reviews: Monster Energy, Lo-Carb Monster, Low Carb Energy Drink, 16 Ounce (Pack of 24)",2023-09-07,5.0,,know store town keep stock whatever reason run quickly get restocked price comparable pay store shipping quick damage shipping usually place order amazon get low fridge arrive run, know store town keep stock whatever reason run quickly get restocked price comparable pay store shipping quick damage shipping usually place order amazon get low fridge arrive run,1,,,-0.6124,,,
