,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
199,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-08-19,5.0,sugar prefect crappy feeling,thanks,sugar prefect crappy feeling thanks,1,,,,,,
198,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-08-29,5.0,great product convenient delivery,see title,great product convenient delivery see title,1,,,,,,
197,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-09-13,5.0,diet please,hooked right price regular otherwise weigh three hundred pound diet taste good product sugar get job done think bit diet pop flavor stocked store live buying single can find least compared amazon selling ty lmm,diet please hooked right price regular otherwise weigh three hundred pound diet taste good product sugar get job done think bit diet pop flavor stocked store live buying single can find least compared amazon selling ty lmm,1,0.8176,0.8176,0.8176,,,
196,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-09-21,1.0,happy,would suck like vaccum,happy would suck like vaccum,0,,,,,,
195,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-10-07,1.0,unwanted order sugar free thought,want sugar free,unwanted order sugar free thought want sugar free,0,,,,,,
194,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-10-18,5.0,like product much,delivery person drop pack ounce can waist line attemt place item porch good witnessed good item handed three foot away,like product much delivery person drop pack ounce can waist line attemt place item porch good witnessed good item handed three foot away,1,,,,,,
193,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-11-03,5.0,good flavor,drink sugar free energy drink get rush crash allows drink many need sugar free allows go crash body adjust limit drinking may think small many good,good flavor drink sugar free energy drink get rush crash allows drink many need sugar free allows go crash body adjust limit drinking may think small many good,1,,0.8442,,,,
192,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-11-05,5.0,quick drinker aftertaste,say red bull headline love definitely expensive feel like price artificially high make seem desirable surely could bring price ounce anything cost sale molten gold maybe,quick drinker aftertaste say red bull headline love definitely expensive feel like price artificially high make seem desirable surely could bring price ounce anything cost sale molten gold maybe,1,0.9274,,0.9274,,,
191,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-11-06,5.0,good pick,diabetic love sugar free drink unpleasant contains little le caffeine thank oz coffee rotate drinking coffee sometimes need caffeine different taste also love carbonated rush get drink much cheaper buying time store,good pick diabetic love sugar free drink unpleasant contains little le caffeine thank oz coffee rotate drinking coffee sometimes need caffeine different taste also love carbonated rush get drink much cheaper buying time store,1,0.9292,,,,,
190,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-12-07,5.0,love sugar free red bull hardly find store order,like sugar free red bull getting hard find even reason must manufacturer thing,love sugar free red bull hardly find store order like sugar free red bull getting hard find even reason must manufacturer thing,1,,,,,,
